Full_Date,Open,High,Low,Close,Index
4/3/2016,305.99,305.99,305.99,305.99,DJ Global Index (World)
4/1/2016,305.51,305.51,302.77,305.51,DJ Global Index (World)
3/31/2016,307.12,307.13,306.44,306.52,DJ Global Index (World)
3/30/2016,307.76,308.13,307.75,307.97,DJ Global Index (World)
3/29/2016,305.47,305.57,305.4,305.46,DJ Global Index (World)
3/28/2016,302.85,302.9,302.59,302.67,DJ Global Index (World)
3/27/2016,302.01,302.01,301.95,302.01,DJ Global Index (World)
3/25/2016,302.12,302.27,302.12,302.12,DJ Global Index (World)
3/24/2016,302.1,302.14,301.88,302.09,DJ Global Index (World)
3/23/2016,303.75,303.75,303.29,303.36,DJ Global Index (World)
3/22/2016,306.11,306.2,306.02,306.02,DJ Global Index (World)
3/21/2016,305.9,306.45,305.83,306.45,DJ Global Index (World)
3/20/2016,306.16,306.16,306.16,306.16,DJ Global Index (World)
3/18/2016,306.41,306.73,305.22,306.41,DJ Global Index (World)
3/17/2016,305.68,305.82,305.36,305.39,DJ Global Index (World)
3/16/2016,302.41,303.02,302.41,302.99,DJ Global Index (World)
3/15/2016,300.26,300.29,300.08,300.19,DJ Global Index (World)
3/14/2016,302.27,302.27,302.07,302.19,DJ Global Index (World)
3/13/2016,302.06,302.06,302.06,302.06,DJ Global Index (World)
3/11/2016,302.01,302.03,302.01,302.01,DJ Global Index (World)
3/10/2016,296.79,296.95,296.6,296.84,DJ Global Index (World)
3/9/2016,297.01,297.11,296.84,297.07,DJ Global Index (World)
3/8/2016,295.72,295.72,295.12,295.32,DJ Global Index (World)
3/7/2016,299.13,299.21,298.48,298.5,DJ Global Index (World)
3/6/2016,298.85,298.85,298.85,298.85,DJ Global Index (World)
3/4/2016,298.78,299.59,298.78,298.78,DJ Global Index (World)
3/3/2016,296.66,296.87,296.56,296.77,DJ Global Index (World)
3/2/2016,294.74,295.3,294.74,295.26,DJ Global Index (World)
3/1/2016,291.96,293.04,291.96,293.01,DJ Global Index (World)
2/29/2016,286.67,286.77,286.45,286.55,DJ Global Index (World)
2/28/2016,287.66,287.66,287.66,287.66,DJ Global Index (World)
2/26/2016,287.53,289.17,287.21,287.53,DJ Global Index (World)
2/25/2016,287.35,287.82,287.35,287.73,DJ Global Index (World)
2/24/2016,284.08,284.4,284.04,284.21,DJ Global Index (World)
2/23/2016,284.92,285.02,284.58,284.9,DJ Global Index (World)
2/22/2016,288.48,288.72,288.42,288.43,DJ Global Index (World)
2/21/2016,284.71,284.71,284.61,284.71,DJ Global Index (World)
2/19/2016,284.66,284.66,282.88,284.66,DJ Global Index (World)
2/18/2016,285.43,285.43,285.07,285.07,DJ Global Index (World)
